Zone_ID,Latitude,Longitude,Sector,Boundary_Clip
SGR_ZONE_001,33.066667,74.1,Srinagar,True
SGR_ZONE_002,33.066667,74.301389,Srinagar,True
SGR_ZONE_003,33.066667,74.501389,Srinagar,True
SGR_ZONE_004,33.066667,74.701389,Srinagar,True
SGR_ZONE_005,33.066667,74.901389,Srinagar,True
SGR_ZONE_006,33.066667,75.101389,Srinagar,True
SGR_ZONE_007,33.066667,75.301389,Srinagar,True
SGR_ZONE_008,33.066667,75.501389,Srinagar,True
SGR_ZONE_009,33.066667,75.701389,Srinagar,True
SGR_ZONE_010,33.066667,75.901389,Srinagar,True
SGR_ZONE_011,33.201389,74.1,Srinagar,True
SGR_ZONE_012,33.201389,74.301389,Srinagar,True
SGR_ZONE_013,33.201389,74.501389,Srinagar,True
SGR_ZONE_014,33.201389,74.701389,Srinagar,True
SGR_ZONE_015,33.201389,74.901389,Srinagar,True
SGR_ZONE_016,33.201389,75.101389,Srinagar,True
SGR_ZONE_017,33.201389,75.301389,Srinagar,True
SGR_ZONE_018,33.201389,75.501389,Srinagar,True
SGR_ZONE_019,33.201389,75.701389,Srinagar,True
SGR_ZONE_020,33.201389,75.901389,Srinagar,True
SGR_ZONE_021,33.334722,74.1,Srinagar,True
SGR_ZONE_022,33.334722,74.301389,Srinagar,True
SGR_ZONE_023,33.334722,74.501389,Srinagar,True
SGR_ZONE_024,33.334722,74.701389,Srinagar,True
SGR_ZONE_025,33.334722,74.901389,Srinagar,True
SGR_ZONE_026,33.334722,75.101389,Srinagar,True
SGR_ZONE_027,33.334722,75.301389,Srinagar,True
SGR_ZONE_028,33.334722,75.501389,Srinagar,True
SGR_ZONE_029,33.334722,75.701389,Srinagar,True
SGR_ZONE_030,33.334722,75.901389,Srinagar,True
SGR_ZONE_031,33.468056,74.1,Srinagar,True
SGR_ZONE_032,33.468056,74.301389,Srinagar,True
SGR_ZONE_033,33.468056,74.501389,Srinagar,True
SGR_ZONE_034,33.468056,74.701389,Srinagar,True
SGR_ZONE_035,33.468056,74.901389,Srinagar,True
SGR_ZONE_036,33.468056,75.101389,Srinagar,True
SGR_ZONE_037,33.468056,75.301389,Srinagar,True
SGR_ZONE_038,33.468056,75.501389,Srinagar,True
SGR_ZONE_039,33.468056,75.701389,Srinagar,True
SGR_ZONE_040,33.468056,75.901389,Srinagar,True
SGR_ZONE_041,33.601389,74.1,Srinagar,True
SGR_ZONE_042,33.601389,74.301389,Srinagar,True
SGR_ZONE_043,33.601389,74.501389,Srinagar,True
SGR_ZONE_044,33.601389,74.701389,Srinagar,True
SGR_ZONE_045,33.601389,74.901389,Srinagar,True
SGR_ZONE_046,33.601389,75.101389,Srinagar,True
SGR_ZONE_047,33.601389,75.301389,Srinagar,True
SGR_ZONE_048,33.601389,75.501389,Srinagar,True
SGR_ZONE_049,33.601389,75.701389,Srinagar,True
SGR_ZONE_050,33.601389,75.901389,Srinagar,True
SGR_ZONE_051,33.734722,74.1,Srinagar,True
SGR_ZONE_052,33.734722,74.301389,Srinagar,True
SGR_ZONE_053,33.734722,74.501389,Srinagar,True
SGR_ZONE_054,33.734722,74.701389,Srinagar,True
SGR_ZONE_055,33.734722,74.901389,Srinagar,True
SGR_ZONE_056,33.734722,75.101389,Srinagar,True
SGR_ZONE_057,33.734722,75.301389,Srinagar,True
SGR_ZONE_058,33.734722,75.501389,Srinagar,True
SGR_ZONE_059,33.734722,75.701389,Srinagar,True
SGR_ZONE_060,33.734722,75.901389,Srinagar,True
SGR_ZONE_061,33.868056,74.1,Srinagar,True
SGR_ZONE_062,33.868056,74.301389,Srinagar,True
SGR_ZONE_063,33.868056,74.501389,Srinagar,True
SGR_ZONE_064,33.868056,74.701389,Srinagar,True
SGR_ZONE_065,33.868056,74.901389,Srinagar,True
SGR_ZONE_066,33.868056,75.101389,Srinagar,True
SGR_ZONE_067,33.868056,75.301389,Srinagar,True
SGR_ZONE_068,33.868056,75.501389,Srinagar,True
SGR_ZONE_069,33.868056,75.701389,Srinagar,True
SGR_ZONE_070,33.868056,75.901389,Srinagar,True
SGR_ZONE_071,34.001389,74.1,Srinagar,True
SGR_ZONE_072,34.001389,74.301389,Srinagar,True
SGR_ZONE_073,34.001389,74.501389,Srinagar,True
SGR_ZONE_074,34.001389,74.701389,Srinagar,True
SGR_ZONE_075,34.001389,74.901389,Srinagar,True
SGR_ZONE_076,34.001389,75.101389,Srinagar,True
SGR_ZONE_077,34.001389,75.301389,Srinagar,True
SGR_ZONE_078,34.001389,75.501389,Srinagar,True
SGR_ZONE_079,34.001389,75.701389,Srinagar,True
SGR_ZONE_080,34.001389,75.901389,Srinagar,True
SGR_ZONE_081,34.134722,74.1,Srinagar,True
SGR_ZONE_082,34.134722,74.301389,Srinagar,True
SGR_ZONE_083,34.134722,74.501389,Srinagar,True
SGR_ZONE_084,34.134722,74.701389,Srinagar,True
SGR_ZONE_085,34.134722,74.901389,Srinagar,True
SGR_ZONE_086,34.134722,75.101389,Srinagar,True
SGR_ZONE_087,34.134722,75.301389,Srinagar,True
SGR_ZONE_088,34.134722,75.501389,Srinagar,True
SGR_ZONE_089,34.134722,75.701389,Srinagar,True
SGR_ZONE_090,34.134722,75.901389,Srinagar,True
SGR_ZONE_091,34.268056,74.1,Srinagar,True
SGR_ZONE_092,34.268056,74.301389,Srinagar,True
SGR_ZONE_093,34.268056,74.501389,Srinagar,True
SGR_ZONE_094,34.268056,74.701389,Srinagar,True
SGR_ZONE_095,34.268056,74.901389,Srinagar,True
SGR_ZONE_096,34.268056,75.101389,Srinagar,True
SGR_ZONE_097,34.268056,75.301389,Srinagar,True
SGR_ZONE_098,34.268056,75.501389,Srinagar,True
SGR_ZONE_099,34.268056,75.701389,Srinagar,True
SGR_ZONE_100,34.268056,75.901389,Srinagar,True
SGR_ZONE_101,34.401389,74.1,Srinagar,True
SGR_ZONE_102,34.401389,74.301389,Srinagar,True
SGR_ZONE_103,34.401389,74.501389,Srinagar,True
SGR_ZONE_104,34.401389,74.701389,Srinagar,True
SGR_ZONE_105,34.401389,74.901389,Srinagar,True
SGR_ZONE_106,34.401389,75.101389,Srinagar,True
SGR_ZONE_107,34.401389,75.301389,Srinagar,True
SGR_ZONE_108,34.401389,75.501389,Srinagar,True
SGR_ZONE_109,34.401389,75.701389,Srinagar,True
SGR_ZONE_110,34.401389,75.901389,Srinagar,True
SGR_ZONE_111,34.534722,74.1,Srinagar,True
SGR_ZONE_112,34.534722,74.301389,Srinagar,True
SGR_ZONE_113,34.534722,74.501389,Srinagar,True
SGR_ZONE_114,34.534722,74.701389,Srinagar,True
SGR_ZONE_115,34.534722,74.901389,Srinagar,True
SGR_ZONE_116,34.534722,75.101389,Srinagar,True
