zone_id,temperature,humidity,pressure,visibility,wind_speed,clouds,visibility_risk,vis_score,humidity_score,wind_score,cloud_score,temp_score,weather_risk_score
Z1,0.7363853979652902,0.328125,0.125,10000,0.8235294117647058,0.2395833333333333,1,0.1,0.328125,0.17647058823529416,0.2395833333333333,0.26361460203470977,0.19439454843876508
Z2,0.9386594853381208,0.203125,0.0625,10000,0.6428571428571429,0.2395833333333333,1,0.1,0.203125,0.3571428571428571,0.2395833333333333,0.061340514661879175,0.17626798003761646
Z3,0.9584081388390184,0.09375,0.0625,10000,0.2647058823529412,0.3125,1,0.1,0.09375,0.7352941176470589,0.3125,0.04159186116098157,0.220078303763157
Z4,0.9991023339317774,0.0,0.0,10000,0.319327731092437,0.4479166666666667,1,0.1,0.0,0.680672268907563,0.4479166666666667,0.0008976660682226134,0.20937810694295672
Z5,1.0,0.0,0.0,10000,0.8991596638655464,0.5104166666666666,1,0.1,0.0,0.10084033613445365,0.5104166666666666,0.0,0.13168855042016805
Z6,0.8153800119688809,0.0625,0.0,10000,1.0,0.4895833333333333,1,0.1,0.0625,0.0,0.4895833333333333,0.18461998803111912,0.1443994988031119
Z7,0.7917414721723519,0.203125,0.0625,10000,0.6974789915966386,0.4479166666666667,1,0.1,0.203125,0.3025210084033614,0.4479166666666667,0.2082585278276481,0.21401650404326902
Z8,0.544883303411131,0.28125,0.125,10000,0.4327731092436975,0.40625,1,0.1,0.28125,0.5672268907563025,0.40625,0.455116696588869,0.28778320327233226
Z9,0.3138839018551765,0.4375,0.1875,10000,0.31092436974789917,0.3020833333333333,1,0.1,0.4375,0.6890756302521008,0.3020833333333333,0.6861160981448235,0.34478545435229746
Z10,0.3883901855176541,0.53125,0.1875,10000,0.6050420168067226,0.17708333333333331,1,0.1,0.53125,0.39495798319327735,0.17708333333333331,0.6116098144823459,0.2932171789272262
Z11,0.49012567324955114,0.609375,0.25,10000,0.6890756302521008,0.10416666666666667,1,0.1,0.609375,0.31092436974789917,0.10416666666666667,0.5098743267504489,0.2751260881372298
Z12,0.6442250149611011,0.640625,0.25,10000,0.7394957983193277,0.11458333333333333,1,0.1,0.640625,0.26050420168067234,0.11458333333333333,0.3557749850388989,0.2599656287559908
Z13,0.3426092160383004,0.6875,0.3125,10000,0.8025210084033614,0.3020833333333333,1,0.1,0.6875,0.19747899159663862,0.3020833333333333,0.6573907839616996,0.31817342713566577
Z14,0.3584679832435667,0.71875,0.375,10000,0.8781512605042017,0.375,1,0.1,0.71875,0.12184873949579833,0.375,0.6415320167564333,0.3224305126000131
Z15,0.28485936564931175,0.796875,0.4375,10000,0.96218487394958,0.46875,1,0.1,0.796875,0.037815126050420034,0.46875,0.7151406343506883,0.34687383234263186
Z16,0.39198084979054454,0.859375,0.4375,10000,0.9747899159663864,0.4479166666666667,1,0.1,0.859375,0.025210084033613578,0.4479166666666667,0.6080191502094554,0.3436459276259876
Z17,0.3159784560143626,0.921875,0.5,10000,0.8739495798319328,0.4270833333333333,1,0.1,0.921875,0.12605042016806722,0.4270833333333333,0.6840215439856374,0.3757472174237738
Z18,0.24536205864751642,0.96875,0.5,10000,0.7857142857142858,0.3958333333333333,1,0.1,0.96875,0.2142857142857142,0.3958333333333333,0.7546379413524835,0.4007316512781055
Z19,0.3129862357869539,1.0,0.5625,10000,0.6470588235294118,0.49999999999999994,1,0.1,1.0,0.3529411764705882,0.49999999999999994,0.687013764213046,0.4366425528918928
Z20,0.310293237582286,1.0,0.5625,10000,0.634453781512605,0.5833333333333333,1,0.1,1.0,0.365546218487395,0.5833333333333333,0.689706762417714,0.4513026090148806
Z21,0.24566128067025733,0.984375,0.5625,10000,0.676470588235294,0.7395833333333333,1,0.1,0.984375,0.32352941176470595,0.7395833333333333,0.7543387193297426,0.47177578369768014
