zone_id,temperature,humidity,pressure,visibility,wind_speed,clouds,visibility_risk
Z1,0.7363853979652902,0.328125,0.125,10000,0.8235294117647058,0.2395833333333333,1
Z2,0.9386594853381208,0.203125,0.0625,10000,0.6428571428571429,0.2395833333333333,1
Z3,0.9584081388390184,0.09375,0.0625,10000,0.2647058823529412,0.3125,1
Z4,0.9991023339317774,0.0,0.0,10000,0.319327731092437,0.4479166666666667,1
Z5,1.0,0.0,0.0,10000,0.8991596638655464,0.5104166666666666,1
Z6,0.8153800119688809,0.0625,0.0,10000,1.0,0.4895833333333333,1
Z7,0.7917414721723519,0.203125,0.0625,10000,0.6974789915966386,0.4479166666666667,1
Z8,0.544883303411131,0.28125,0.125,10000,0.4327731092436975,0.40625,1
Z9,0.3138839018551765,0.4375,0.1875,10000,0.31092436974789917,0.3020833333333333,1
Z10,0.3883901855176541,0.53125,0.1875,10000,0.6050420168067226,0.17708333333333331,1
Z11,0.49012567324955114,0.609375,0.25,10000,0.6890756302521008,0.10416666666666667,1
Z12,0.6442250149611011,0.640625,0.25,10000,0.7394957983193277,0.11458333333333333,1
Z13,0.3426092160383004,0.6875,0.3125,10000,0.8025210084033614,0.3020833333333333,1
Z14,0.3584679832435667,0.71875,0.375,10000,0.8781512605042017,0.375,1
Z15,0.28485936564931175,0.796875,0.4375,10000,0.96218487394958,0.46875,1
Z16,0.39198084979054454,0.859375,0.4375,10000,0.9747899159663864,0.4479166666666667,1
Z17,0.3159784560143626,0.921875,0.5,10000,0.8739495798319328,0.4270833333333333,1
Z18,0.24536205864751642,0.96875,0.5,10000,0.7857142857142858,0.3958333333333333,1
Z19,0.3129862357869539,1.0,0.5625,10000,0.6470588235294118,0.49999999999999994,1
Z20,0.310293237582286,1.0,0.5625,10000,0.634453781512605,0.5833333333333333,1
Z21,0.24566128067025733,0.984375,0.5625,10000,0.676470588235294,0.7395833333333333,1
Z22,0.2710951526032316,0.96875,0.625,10000,0.7773109243697479,0.7916666666666666,1
Z23,0.260622381807301,0.921875,0.6875,10000,0.7731092436974789,0.7916666666666666,1
Z24,0.379114302812687,0.859375,0.8125,10000,0.6680672268907563,0.6874999999999999,1
Z25,0.08497905445840809,0.75,0.9375,10000,0.39075630252100835,0.5416666666666666,1
Z26,0.3096947935368043,0.6875,1.0,10000,0.25210084033613445,0.4583333333333333,1
Z27,0.5194494314781568,0.640625,1.0,10000,0.27310924369747897,0.46875,1
Z28,0.47606223818073007,0.625,1.0,10000,0.31092436974789917,0.5208333333333333,1
Z29,0.0,0.609375,0.75,10000,0.36554621848739494,0.6874999999999999,1
Z30,0.13913824057450624,0.59375,0.5625,10000,0.4117647058823529,0.8437499999999999,1
Z31,0.2761819269898264,0.5625,0.375,10000,0.40756302521008403,0.9687499999999999,1
Z32,0.19958108916816275,0.53125,0.25,10000,0.36974789915966383,0.9999999999999999,1
Z33,0.19748653500897662,0.515625,0.25,10000,0.39495798319327735,0.9583333333333333,1
Z34,0.5335128665469778,0.484375,0.25,10000,0.45378151260504207,0.8541666666666666,1
Z35,0.4772591262716936,0.46875,0.3125,10000,0.5042016806722689,0.8020833333333333,1
Z36,0.21424296828246558,0.40625,0.3125,10000,0.5,0.7291666666666666,1
Z37,0.2444643925792938,0.328125,0.3125,10000,0.34873949579831937,0.6770833333333333,1
Z38,0.07839616995810889,0.25,0.375,10000,0.4957983193277311,0.5937499999999999,1
Z39,0.08497905445840809,0.234375,0.375,10000,0.7478991596638654,0.4479166666666667,1
Z40,0.15649311789347692,0.28125,0.375,10000,0.8739495798319328,0.2708333333333333,1
Z41,0.20077797725912627,0.34375,0.375,10000,0.8193277310924371,0.10416666666666667,1
Z42,0.23219628964691796,0.421875,0.375,10000,0.6554621848739496,0.0,1
Z43,0.2749850388988629,0.4375,0.375,10000,0.5882352941176471,0.010416666666666668,1
Z44,0.2603231597845601,0.421875,0.375,10000,0.5630252100840336,0.16666666666666666,1
Z45,0.007181328545780907,0.390625,0.375,10000,0.592436974789916,0.3229166666666667,1
Z46,0.1529024536205864,0.34375,0.3125,10000,0.6092436974789915,0.4479166666666667,1
Z47,0.2663076002393776,0.328125,0.3125,10000,0.5,0.40625,1
Z48,0.3357271095152603,0.328125,0.375,10000,0.2394957983193277,0.2708333333333333,1
Z49,0.36026331538001194,0.3125,0.375,10000,0.0,0.20833333333333331,1
Z50,0.23907839616995807,0.328125,0.3125,10000,0.15966386554621848,0.3125,1
